N,P,K,temperature,humidity,ph,rainfall,label
25.0,143.0,200.0,23.80436344,92.80441624,6.02424879,100.6192543,apple
35.0,128.0,205.0,21.07273439,93.56585985,6.04105383,107.8737015,apple
10.0,125.0,196.0,22.31253665,90.03577124,5.73055745,113.0688155,apple
10.0,140.0,197.0,22.16939473,90.27185592,6.22949884,124.4683112,apple
35.0,131.0,203.0,22.42776057,93.91722423,5.8934909,102.7230739,apple
31.0,130.0,198.0,21.80129837,92.73446667,5.55482356,120.0586671,apple
37.0,137.0,199.0,22.63946441,90.18451645,5.69794552,108.3405879,apple
2.0,129.0,201.0,22.78234161,94.36803516,5.68234374,122.1449949,apple
36.0,140.0,198.0,23.34386401,91.47684705,6.28188384,104.4267991,apple
5.0,136.0,195.0,22.35628673,91.92360477,6.2642028,107.7697413,apple
26.0,122.0,202.0,22.44516988,94.73763514,5.61722718,107.1843273,apple
1.0,124.0,199.0,23.71059131,93.27392415,5.65847382,112.6676589,apple
14.0,128.0,205.0,22.60800988,94.58900601,6.22628956,116.0396587,apple
14.0,140.0,197.0,23.35225078,90.90054697,6.07125513,113.0381382,apple
6.0,144.0,198.0,21.11478672,90.31528693,5.55936361,104.5086618,apple
24.0,128.0,196.0,22.75088787,90.69489172,5.521467,110.4317855,apple
33.0,143.0,204.0,21.1316077,91.95769858,5.81443478,122.5391946,apple
29.0,144.0,204.0,22.43324518,92.48667725,5.80044895,119.1025189,apple
0.0,133.0,200.0,23.67287749,90.4935574,5.70841872,104.2298028,apple
21.0,137.0,196.0,23.6119202,91.70293849,5.81278181,123.5900822,apple
35.0,142.0,203.0,21.17089176,90.23730166,5.895319,123.6495149,apple
14.0,139.0,197.0,21.72484506,92.83975602,6.05652953,121.6961761,apple
7.0,144.0,197.0,23.8494014,94.34814995,6.13322059,114.0512495,apple
2.0,123.0,205.0,22.36629253,90.78572467,5.73965218,124.9831618,apple
29.0,132.0,204.0,23.08950736,90.22507299,6.0967531,108.2166601,apple
30.0,137.0,200.0,22.91430043,90.70475565,5.60341317,118.6044645,apple
8.0,120.0,201.0,21.18667419,91.13435689,6.32115219,122.233323,apple
27.0,139.0,205.0,22.48403042,93.40819246,5.77217995,105.5473627,apple
29.0,128.0,198.0,22.44075021,92.70785115,5.6850624,121.4977331,apple
7.0,144.0,195.0,22.96388477,93.58065995,5.85648105,104.6472986,apple
15.0,123.0,204.0,22.52709326,92.54780429,6.36597269,115.3830068,apple
13.0,144.0,197.0,22.9215706,94.89613443,6.28022267,105.6941544,apple
40.0,120.0,197.0,23.80593812,92.48879468,5.88948068,119.6335548,apple
33.0,121.0,203.0,22.45696744,94.76285385,5.60593409,114.8407725,apple
33.0,134.0,205.0,21.0365275,94.33919546,6.08551916,114.7412734,apple
40.0,144.0,196.0,22.71750705,92.25479855,5.98726264,107.0289866,apple
11.0,143.0,197.0,22.98458907,93.3204487,5.87571852,122.1952483,apple
9.0,137.0,200.0,21.12152071,90.6878768,5.63668739,102.8017203,apple
26.0,126.0,195.0,21.41363812,92.99124545,5.87856898,118.3979065,apple
1.0,135.0,203.0,22.77856513,92.70124029,5.62420328,113.7759219,apple
23.0,138.0,195.0,22.49095104,91.70292746,5.79598572,124.3915101,apple
15.0,133.0,199.0,23.99686172,91.61001707,5.82477864,117.6102915,apple
9.0,139.0,199.0,23.25230817,94.54128292,5.867421,105.3558408,apple
13.0,126.0,204.0,23.1094265,92.79630809,6.38318027,108.183792,apple
29.0,138.0,197.0,22.19055385,92.43764169,5.83089225,121.6622761,apple
28.0,130.0,196.0,22.13450646,94.67695747,6.06235647,112.9203223,apple
32.0,145.0,203.0,23.83053666,90.84422164,6.40681852,109.5966791,apple
10.0,136.0,204.0,21.19852186,92.15595143,6.2761986,105.8554351,apple
33.0,138.0,198.0,22.29423493,90.69033986,6.2223908,122.7418744,apple
29.0,139.0,205.0,23.64142354,93.74461474,6.15593945,116.6912176,apple
28.0,123.0,202.0,22.76643029,92.12438519,6.44228929,120.4359949,apple
29.0,145.0,205.0,22.81227579,92.12992101,6.21230261,109.3383552,apple
2.0,131.0,199.0,22.47420512,91.22759742,6.01737013,124.2179699,apple
25.0,132.0,198.0,22.31944084,90.85174383,5.73275752,100.1173443,apple
2.0,120.0,203.0,23.12652652,94.71203306,5.893493,108.6211833,apple
0.0,123.0,205.0,22.02775403,92.96129462,5.79099305,121.1349176,apple
105.0,93.0,46.0,25.01018457,78.76260938,5.76045756,108.3690513,banana
108.0,72.0,46.0,25.16278237,84.97849241,6.11084472,90.94554618,banana
80.0,90.0,47.0,26.59743595,79.35898915,6.21084479,107.3944717,banana
99.0,92.0,47.0,28.1279509,77.48247073,6.32393365,103.5045395,banana
110.0,78.0,50.0,25.93730186,78.89864446,5.91556897,98.21747528,banana
119.0,90.0,48.0,28.66725136,79.59242542,5.98644231,118.2583441,banana
112.0,87.0,48.0,27.19711623,77.3970629,6.20011107,99.46950465,banana
90.0,86.0,55.0,27.96236771,84.15403614,5.64448658,97.55986676,banana
104.0,80.0,54.0,27.09062164,81.33506906,5.87911946,110.1331182,banana
92.0,85.0,51.0,29.22118628,81.08183635,5.74076468,108.8616474,banana
94.0,91.0,51.0,29.16093424,76.67484233,5.61809445,109.575944,banana
93.0,81.0,50.0,27.71822477,76.57853189,6.03607927,102.2099836,banana
110.0,71.0,54.0,28.67208915,82.20793613,5.72541896,94.37987496,banana
82.0,78.0,46.0,25.05802193,84.97323747,5.7386789,110.4408803,banana
98.0,79.0,50.0,25.34119774,84.47321314,6.43591731,91.06493353,banana
117.0,81.0,53.0,29.50704598,78.20585613,5.50764178,98.12565829,banana
101.0,70.0,48.0,25.36059237,75.03193255,6.01269666,116.5531455,banana
90.0,92.0,55.0,27.00932084,80.18546798,6.13465588,97.32531705,banana
118.0,88.0,51.0,25.44926208,79.49221962,6.20191164,100.6619171,banana
88.0,78.0,45.0,29.10403455,79.19588629,6.32427009,92.07835761,banana
85.0,89.0,51.0,29.21144871,84.70189923,6.15816442,108.5501443,banana
83.0,94.0,47.0,27.39872329,81.10523402,6.46937095,112.1355384,banana
91.0,94.0,46.0,29.36792366,76.24900101,6.14993403,92.82840911,banana
93.0,91.0,47.0,27.84767901,83.31110751,6.10124158,117.2878912,banana
117.0,76.0,47.0,25.56202173,77.38229006,6.11921601,93.10247183,banana
93.0,83.0,46.0,29.38254012,83.50423735,5.76530894,109.2486647,banana
106.0,70.0,55.0,25.86824781,78.52399914,5.74055541,116.3019555,banana
99.0,70.0,46.0,26.59580783,82.99556744,5.72746995,100.5123341,banana
92.0,81.0,52.0,28.0106804,76.52808057,5.8914139,103.7040783,banana
85.0,95.0,47.0,25.94019018,78.3422098,6.21183316,119.84797,banana
80.0,77.0,49.0,26.05433004,79.39654531,5.51908842,113.2297373,banana
100.0,80.0,52.0,27.53911354,77.25629897,6.04980178,110.3262123,banana
101.0,87.0,54.0,29.07311132,76.50045221,6.37675663,100.1692639,banana
111.0,88.0,55.0,29.44795403,78.34971537,5.50539383,96.45042585,banana
108.0,94.0,47.0,27.35911627,84.54625006,6.38743138,90.81250457,banana
82.0,77.0,46.0,28.9470467,82.1888998,5.90110084,95.83016448,banana
108.0,88.0,55.0,26.28845991,83.390039,5.89145811,113.8729798,banana
108.0,89.0,53.0,29.12036889,80.18080728,5.90877006,112.3982055,banana
114.0,79.0,51.0,26.21009246,82.34429458,6.3131972,112.0700033,banana
95.0,74.0,50.0,25.90113128,80.47152737,6.0024816,110.10323,banana
93.0,85.0,49.0,27.96799119,79.28625709,5.69424385,119.4765557,banana
82.0,75.0,55.0,27.34585147,78.4873835,6.2810695,92.15524332,banana
89.0,83.0,47.0,28.09577643,77.79586769,5.63127166,109.5408614,banana
114.0,94.0,53.0,26.33544853,76.8532006,6.19075746,118.6858263,banana
111.0,87.0,48.0,26.3985515,81.36028902,5.57140117,98.16752001,banana
117.0,86.0,53.0,25.19640218,83.55829874,5.70338173,115.8586081,banana
102.0,71.0,48.0,28.65456263,79.28693687,5.69526782,102.4633775,banana
83.0,79.0,55.0,25.14748006,83.34688193,5.56502864,98.66679427,banana
86.0,79.0,45.0,27.81251452,82.69285419,5.80766417,99.20961514,banana
95.0,75.0,50.0,28.08166093,75.26429821,5.62361569,118.2761894,banana
105.0,77.0,52.0,29.16226551,76.16151562,5.81662248,100.0075679,banana
102.0,73.0,54.0,26.4020227,84.41007614,5.72072691,111.0162259,banana
108.0,92.0,53.0,27.40053601,82.96221306,6.27680032,104.9378,banana
117.0,79.0,49.0,25.40909896,82.36208097,6.17664423,112.9794804,banana
105.0,74.0,45.0,25.14517635,81.38204104,6.09836912,119.218154,banana
117.0,82.0,45.0,25.29391516,79.29122198,5.61447148,105.4220251,banana
100.0,76.0,45.0,25.56703012,75.94067692,5.59023602,102.7867717,banana
101.0,92.0,45.0,28.22776705,80.6430384,5.75805426,98.00403016,banana
95.0,75.0,45.0,28.98333432,82.95958244,5.8298985,109.022564,banana
116.0,71.0,47.0,27.57278064,82.0638878,6.4357858,91.34276507,banana
104.0,73.0,46.0,29.1400919,80.1190228,6.28236237,90.45142867,banana
95.0,88.0,52.0,28.00316034,78.90085998,6.23546177,94.68180316,banana
96.0,86.0,51.0,29.90888522,76.98740841,6.2573698,91.99964712,banana
100.0,74.0,52.0,25.43480512,81.53977797,5.83725824,96.47800391,banana
102.0,73.0,52.0,27.9122104,83.36307683,6.3560909,90.24211529,banana
92.0,81.0,52.0,27.39341554,81.4654833,6.43813728,94.31102057,banana
80.0,71.0,47.0,27.50527651,80.79783998,6.1563735,105.0776992,banana
109.0,79.0,45.0,27.66752761,79.68542782,6.49007443,108.66464,banana
92.0,75.0,45.0,29.01207743,77.95192527,5.67440336,90.43495443,banana
86.0,95.0,49.0,28.05484146,78.04602887,6.45871488,108.3957179,banana
86.0,76.0,54.0,29.3159075,80.11585705,5.92682475,90.10978128,banana
105.0,95.0,50.0,27.33368994,83.67675197,5.8490761,101.0494791,banana
106.0,85.0,53.0,27.1994597,78.8086068,5.91505509,99.72430835,banana
112.0,73.0,48.0,29.2440638,77.32017166,5.70748899,90.66727868,banana
93.0,94.0,53.0,25.86632408,84.42379269,6.07917879,114.5357503,banana
113.0,85.0,45.0,27.94972463,76.63713353,6.03743084,109.0921631,banana
89.0,85.0,55.0,26.6719835,76.48541655,6.27538461,91.73358569,banana
109.0,91.0,53.0,29.66727337,83.51014178,6.01009585,110.2511102,banana
118.0,88.0,52.0,28.65003945,82.68752542,5.84316316,98.75084366,banana
101.0,75.0,50.0,26.59386409,81.40740301,6.24252828,109.9825551,banana
90.0,86.0,52.0,25.85036988,81.95580471,5.79326026,119.0856171,banana
103.0,72.0,51.0,26.12643374,81.81365007,6.09947874,104.4812858,banana
91.0,75.0,55.0,27.48612983,76.11239849,6.21236936,109.2768851,banana
116.0,81.0,55.0,26.42313317,83.6995044,5.91554642,95.12322062,banana
91.0,84.0,52.0,29.14827211,78.71024836,6.39074184,117.536781,banana
120.0,87.0,52.0,28.0764455,76.05522115,5.9054947,118.9923573,banana
107.0,71.0,55.0,29.42017919,83.96754496,6.08806445,117.229079,banana
105.0,88.0,54.0,25.78749808,84.51194224,6.02044532,114.2005455,banana
83.0,95.0,50.0,26.51682337,77.79913575,5.50947065,108.8547508,banana
108.0,89.0,53.0,29.55054817,78.06762846,5.8084976,99.34482238,banana
97.0,74.0,45.0,26.47522633,78.51833782,5.6777199,113.1161095,banana
107.0,72.0,45.0,28.14938935,81.54448882,5.79076805,91.40508414,banana
111.0,79.0,53.0,28.31193338,75.77363772,6.16500128,119.695765,banana
119.0,72.0,55.0,25.99069521,83.33983116,6.22064367,112.0777152,banana
89.0,91.0,55.0,25.08347445,80.261731,6.2755723,94.32961456,banana
94.0,89.0,48.0,28.55980972,84.51602322,5.6534379,111.0843029,banana
95.0,82.0,48.0,27.39489579,83.31172003,5.71901499,92.78133617,banana
94.0,70.0,48.0,25.13686519,84.88394407,6.19515244,91.46442491,banana
99.0,73.0,53.0,26.29039046,81.06003778,5.87170221,118.6730366,banana
117.0,86.0,48.0,28.6956201,82.54195839,6.22522524,116.1616839,banana
49.0,68.0,22.0,28.56840626,61.53278622,7.12706421,63.49726331,blackgram
35.0,72.0,21.0,34.03619494,64.28791388,7.74141877,66.85510868,blackgram
55.0,60.0,15.0,32.79766751,68.77994074,7.16304387,64.11411069,blackgram
50.0,74.0,17.0,27.10053268,63.36085585,6.5408208,73.84949872,blackgram
35.0,64.0,15.0,28.47442276,63.53604453,6.50014496,69.5274407,blackgram
43.0,61.0,20.0,26.87187036,61.61367264,6.80425387,63.51822045,blackgram
24.0,80.0,19.0,29.67892453,69.0854554,6.80804172,65.66436565,blackgram
33.0,77.0,21.0,30.32992227,65.62971858,7.01285529,71.64631281,blackgram
20.0,60.0,25.0,27.3254209,69.09047809,6.72646909,61.19250859,blackgram
49.0,72.0,15.0,31.55846339,67.83563765,7.13700475,74.86960831,blackgram
21.0,80.0,20.0,28.20667264,68.27085245,7.35086979,64.32887142,blackgram
42.0,79.0,23.0,27.71678273,63.29103387,6.78184198,68.56507978,blackgram
20.0,62.0,18.0,29.36358721,64.98742947,7.36654265,61.91208707,blackgram
37.0,79.0,19.0,27.54384835,69.3478631,7.14394276,69.40878198,blackgram
56.0,79.0,15.0,29.48439992,63.19915325,7.45453214,71.89090748,blackgram
27.0,64.0,21.0,32.84213012,68.68401492,7.54380422,73.67166182,blackgram
21.0,72.0,17.0,31.52104732,66.55723677,7.58052734,61.71111448,blackgram
28.0,65.0,23.0,28.38686534,61.88871127,7.40517614,74.24459122,blackgram
55.0,67.0,16.0,34.37329112,69.69366426,6.59671902,70.27184748,blackgram
44.0,63.0,15.0,26.42333018,64.51136845,7.33892956,63.46546487,blackgram
29.0,70.0,15.0,30.33499674,63.54718862,6.87259446,74.16699119,blackgram
39.0,73.0,24.0,25.65842532,61.18235808,7.22405917,69.28607828,blackgram
52.0,71.0,16.0,27.74274761,68.53997144,7.07588647,71.78615328,blackgram
30.0,65.0,25.0,32.88733849,64.59457409,7.70650895,71.50569456,blackgram
57.0,67.0,25.0,32.34744009,66.61452812,7.55136432,64.55882254,blackgram
41.0,78.0,21.0,25.19857725,60.37332688,6.58131314,70.88787207,blackgram
29.0,63.0,17.0,30.02629908,67.88811637,7.26154329,66.47264636,blackgram
40.0,68.0,17.0,34.1262979,65.14877461,7.73314955,70.40795007,blackgram
44.0,58.0,18.0,28.03644051,65.06601664,6.81441093,72.49507741,blackgram
48.0,61.0,21.0,30.28496619,61.69295127,6.62826488,65.62859526,blackgram
52.0,63.0,19.0,29.58949031,68.32176769,6.92889866,67.53021213,blackgram
52.0,65.0,20.0,32.81705216,66.15665137,6.81430103,68.83924882,blackgram
39.0,60.0,21.0,34.89814946,63.59948557,6.97297656,64.72797143,blackgram
53.0,74.0,15.0,29.43463808,64.94329356,7.517097,72.17818157,blackgram
44.0,75.0,22.0,30.0328403,64.14800537,7.57456155,71.21006868,blackgram
21.0,63.0,22.0,25.09737391,67.72837887,6.85940949,74.61649888,blackgram
20.0,68.0,17.0,30.11873003,60.11680815,6.57871484,71.72980375,blackgram
25.0,62.0,21.0,26.73433965,68.13999721,7.04005609,67.15096376,blackgram
59.0,63.0,18.0,31.65531175,60.13263713,6.52669158,66.69096751,blackgram
42.0,61.0,22.0,26.27274407,62.28814857,7.41865067,70.23207557,blackgram
23.0,57.0,19.0,32.83963757,67.99803573,7.25100079,73.40452716,blackgram
34.0,80.0,19.0,31.49338309,63.0563645,6.52121796,71.48327008,blackgram
60.0,59.0,22.0,31.86847286,66.74217464,7.1915226,74.22238583,blackgram
50.0,55.0,16.0,28.81460716,65.33538112,7.58144289,62.26242533,blackgram
20.0,72.0,19.0,32.47648301,64.34848735,7.39719084,65.820457,blackgram
59.0,58.0,17.0,28.546224,66.31394098,7.36831881,62.83469851,blackgram
58.0,61.0,15.0,30.94908189,64.23364112,7.40289167,62.78730907,blackgram
22.0,55.0,20.0,33.95309131,69.96100028,7.42353035,61.16350463,blackgram
25.0,76.0,17.0,31.74105409,68.63525428,7.24114851,62.3061735,blackgram
51.0,56.0,18.0,28.12787838,64.2097765,6.70650592,70.86340755,blackgram
21.0,78.0,19.0,27.16159076,66.76017239,6.92009048,69.85112265,blackgram
44.0,77.0,21.0,32.63918668,61.3009051,7.32698045,61.83876146,blackgram
29.0,67.0,21.0,29.79181107,63.38789228,6.62132361,63.02169909,blackgram
55.0,78.0,21.0,33.39438752,62.93692886,6.60288825,63.57445989,blackgram
41.0,62.0,15.0,29.38400259,64.14928485,7.35897454,65.24194361,blackgram
37.0,62.0,17.0,25.68576704,69.84354028,7.12125493,74.62068748,blackgram
40.0,58.0,16.0,30.64095781,61.14508627,7.16743583,71.36947525,blackgram
32.0,66.0,17.0,34.9466155,65.26774011,7.16235764,70.1415139,blackgram
55.0,77.0,22.0,31.4345059,62.99303471,7.76061831,64.77651469,blackgram
49.0,76.0,18.0,27.05365239,67.7017527,7.39363187,60.4693835,blackgram
47.0,63.0,16.0,27.44003279,67.10464369,6.661871,72.50669768,blackgram
40.0,63.0,18.0,30.41588462,67.66323804,6.74441168,63.02473185,blackgram
21.0,62.0,24.0,33.49077065,62.73317204,6.84738289,65.45328463,blackgram
53.0,67.0,17.0,31.77681682,69.01852894,7.29697216,61.46892873,blackgram
28.0,68.0,19.0,34.63880966,61.38597868,7.69950698,72.43169115,blackgram
29.0,76.0,15.0,28.5417236,64.2020154,7.02560771,69.68862306,blackgram
30.0,64.0,20.0,33.8642935,61.57072498,6.57353161,68.02199825,blackgram
33.0,80.0,22.0,28.57006111,65.71765781,6.59396176,70.0866434,blackgram
33.0,75.0,21.0,33.04687968,68.93875631,6.69065504,62.30278274,blackgram
25.0,65.0,21.0,33.86351172,68.59232289,6.88024579,69.24464096,blackgram
57.0,60.0,17.0,26.23773129,67.88521396,7.50460838,73.58663968,blackgram
25.0,68.0,19.0,29.39982732,64.25510719,7.10845012,67.47677295,blackgram
27.0,62.0,24.0,28.63005477,66.770943,7.35387675,62.2737345,blackgram
58.0,79.0,17.0,27.24766491,66.10123083,7.04174124,62.31842057,blackgram
42.0,73.0,25.0,34.03679184,67.21113844,6.50186931,73.23573601,blackgram
26.0,67.0,16.0,29.10713092,67.90577375,7.17620823,67.83345933,blackgram
38.0,62.0,25.0,32.7477393,67.77954584,7.45397541,63.37784443,blackgram
50.0,64.0,25.0,28.84079155,63.37230676,6.73444742,70.25496749,blackgram
27.0,60.0,17.0,26.41768321,63.64698302,7.02679536,64.42177127,blackgram
42.0,58.0,25.0,27.45853567,62.90020977,6.51362092,69.46020927,blackgram
34.0,66.0,19.0,32.97030511,60.18122078,7.5866421,73.44678678,blackgram
43.0,68.0,20.0,29.57812712,66.17587668,7.49746926,69.43895491,blackgram
34.0,60.0,16.0,31.35730791,64.24992106,7.32255522,63.85668948,blackgram
58.0,71.0,15.0,27.82592799,67.5861883,6.9192437,74.01229707,blackgram
58.0,75.0,25.0,25.25596239,61.36669662,7.26179175,68.64685069,blackgram
41.0,74.0,18.0,28.75751783,61.02701476,6.5991473,73.37686831,blackgram
36.0,66.0,15.0,30.08545364,69.34811988,6.66823856,67.1367443,blackgram
50.0,58.0,23.0,27.81326852,62.50460464,7.59680202,69.75555541,blackgram
56.0,75.0,15.0,30.20157245,60.06534859,7.15227226,66.37171179,blackgram
44.0,55.0,25.0,29.6321052,65.91359954,7.42160832,71.16331975,blackgram
59.0,55.0,19.0,31.74379487,62.51007687,7.33237514,68.97097538,blackgram
23.0,70.0,15.0,34.6008247,63.11296779,7.40362336,60.41790253,blackgram
25.0,71.0,24.0,28.49538735,60.44848407,7.18772182,74.91559514,blackgram
56.0,76.0,16.0,28.27265858,61.18956161,7.51315108,63.29900785,blackgram
20.0,68.0,23.0,25.54960633,63.95425534,7.70733248,63.1830529,blackgram
55.0,66.0,22.0,30.91219459,68.79427388,7.74777526,66.63830637,blackgram
44.0,76.0,22.0,27.26458947,68.01232937,7.77530627,68.91754359,blackgram
52.0,70.0,16.0,33.66855394,66.60416867,7.53481183,67.32520551,blackgram
58.0,73.0,16.0,33.36984395,65.67718163,6.87414218,64.89517488,blackgram
48.0,62.0,15.0,25.36586097,66.6379724,7.53863146,65.81655892,blackgram
58.0,63.0,81.0,19.81344531,14.69765308,6.51549955,78.96514709,chickpea
48.0,65.0,78.0,17.43732714,14.33847406,7.86112815,73.0926704,chickpea
57.0,56.0,78.0,17.34150229,18.75626255,8.86147967,67.9545435,chickpea
39.0,76.0,76.0,19.96837462,15.57324389,8.13590073,69.15759062,chickpea
29.0,75.0,75.0,19.62416326,18.71483156,7.06479036,88.4585692,chickpea
38.0,60.0,76.0,18.65054116,17.80852431,8.86874144,77.92798682,chickpea
28.0,74.0,81.0,18.01272266,18.30968112,8.75379533,81.98568791,chickpea
33.0,75.0,84.0,19.46210401,18.72831993,7.21701846,68.81405149,chickpea
35.0,63.0,76.0,17.81564548,17.60756635,7.71415304,90.82097601,chickpea
30.0,75.0,81.0,19.41789736,16.80472243,6.40843789,68.4951189,chickpea
47.0,80.0,77.0,17.18248372,16.42891834,7.56110801,72.85017344,chickpea
28.0,76.0,82.0,20.56601874,14.25803981,6.65442532,83.75937135,chickpea
50.0,56.0,76.0,20.99502153,19.8601304,7.96660502,73.50734019,chickpea
25.0,68.0,77.0,20.09340593,15.11279612,7.70144645,85.74904898,chickpea
43.0,66.0,79.0,19.46233971,15.22538951,7.97660759,74.58565097,chickpea
34.0,71.0,79.0,17.927806,15.85622899,7.7289982,74.63872762,chickpea
47.0,79.0,78.0,17.48395377,14.76014523,6.60969673,65.11365631,chickpea
34.0,76.0,80.0,20.65691793,15.84572566,7.98541739,65.23811143,chickpea
36.0,76.0,75.0,18.38120357,16.63805158,8.7363379,70.52056697,chickpea
36.0,67.0,77.0,18.36952567,19.56381041,7.15281117,79.26357665,chickpea
22.0,64.0,82.0,19.48974337,17.17260319,6.4740245,87.51312796,chickpea
32.0,60.0,83.0,19.69141713,19.44225438,8.82927333,91.76071648,chickpea
59.0,70.0,84.0,17.3348681,18.74926979,7.55080827,82.61734721,chickpea
29.0,77.0,75.0,17.50361137,15.48083156,7.77859162,72.9446671,chickpea
42.0,74.0,83.0,19.2582557,14.2804191,7.54525842,65.78042032,chickpea
42.0,62.0,75.0,18.17912258,18.90426935,7.01057054,81.84997529,chickpea
56.0,67.0,78.0,17.57445618,16.71826572,8.25545076,77.81891424,chickpea
43.0,79.0,79.0,19.40751744,18.98030507,7.80674766,80.25064637,chickpea
35.0,64.0,78.0,17.92845928,14.27327988,7.49664526,85.37378769,chickpea
54.0,61.0,77.0,18.81198127,15.21618225,6.20658219,77.5429424,chickpea
59.0,69.0,80.0,19.07937684,17.86754927,8.1653593,69.40619137,chickpea
52.0,73.0,79.0,17.25769499,18.74943955,7.84033939,94.00287214,chickpea
22.0,60.0,85.0,18.8392908,14.74071856,7.81199798,94.78189594,chickpea
57.0,73.0,85.0,18.49311205,14.72115044,7.35809962,91.94595352,chickpea
45.0,61.0,78.0,19.48649305,16.06240074,6.48938928,81.5284269,chickpea
22.0,78.0,76.0,17.84851658,19.09172907,8.62166298,76.32470713,chickpea
24.0,55.0,78.0,17.30287885,15.15405941,6.64919573,75.57790384,chickpea
27.0,76.0,83.0,19.12829388,14.92241479,6.28961402,89.61857826,chickpea
31.0,70.0,77.0,20.88818675,14.32313811,6.49254605,90.46228334,chickpea
54.0,77.0,85.0,17.1418614,17.0662427,7.82921114,83.74606679,chickpea
30.0,70.0,79.0,20.26942271,19.96978871,7.31312224,69.64449182,chickpea
37.0,55.0,82.0,19.45591848,18.02235902,8.4238737,78.44910564,chickpea
44.0,74.0,85.0,20.18649426,19.63719995,7.1506813,78.26039559,chickpea
32.0,71.0,85.0,20.62767492,14.44008871,6.40398232,92.06630306,chickpea
23.0,62.0,85.0,18.97424756,19.5161216,8.49012714,80.7108745,chickpea
40.0,58.0,75.0,18.59190771,14.77959596,7.16809606,89.60982451,chickpea
58.0,66.0,79.0,20.99373558,19.33470387,8.71819285,93.55280105,chickpea
20.0,79.0,77.0,18.54988627,16.02542689,7.64867466,76.32565249,chickpea
22.0,72.0,85.0,18.86805647,15.65809214,6.39117359,88.51048983,chickpea
37.0,66.0,85.0,20.93175255,18.91295403,6.45614847,78.06910795,chickpea
